node_id,rho,neighbourhood_size,subgraph_edges,active_features,degenerate_features,output_bandwidth,output_centered_norm,lipschitz_constant,step_size,converged,iterations,initial_objective,final_objective,objective_reduction,relative_change,num_nonzero,has_full_top_k,max_beta,min_beta,num_top_features,top_10_features,top_10_betas
2002,0.1,80,206,570,863,0.3460208475589752,16.051143646240234,12.222575187683105,0.08181581646203995,True,203,0.5,0.4540204405784607,0.04597955942153931,8.172322374377927e-09,7,False,0.19334526360034943,0.0,7,474;647;507;774;125;1209;661,0.1933452636;0.1296354085;0.1070260331;0.0528379455;0.0136752259;0.0027072430;0.0018327879
2002,0.3,80,206,570,863,0.3460208475589752,16.051143646240234,12.222575187683105,0.08181581646203995,True,150,0.5,0.4990234375,0.0009765625,7.450580596923828e-09,1,False,0.04419334977865219,0.0,1,474,0.0441933498
2691,0.001,4,8,59,1374,0.10543184727430344,1.4717904329299927,21.962501525878906,0.04553215578198433,True,1867,0.5,0.0015061565209180117,0.498493843479082,1.8034984616832617e-09,31,True,0.2728379964828491,0.0,10,146;619;1348;1151;140;302;591;757;937;1005,0.2728379965;0.2728379965;0.2728379965;0.2605009973;0.0166965220;0.0166965220;0.0166965220;0.0166965220;0.0166965220;0.0166965220
2691,0.003,4,8,59,1374,0.10543184727430344,1.4717904329299927,21.962501525878906,0.04553215578198433,True,1827,0.5,0.004093572031706572,0.49590642796829343,6.5926437642360725e-09,31,True,0.2723495662212372,0.0,10,146;619;1348;1151;140;302;591;757;937;1005,0.2723495662;0.2723495662;0.2723495662;0.2598857284;0.0165743716;0.0165743716;0.0165743716;0.0165743716;0.0165743716;0.0165743716
2691,0.01,4,8,59,1374,0.10543184727430344,1.4717904329299927,21.962501525878906,0.04553215578198433,True,1698,0.5,0.013069937005639076,0.4869300629943609,4.057871372253885e-09,31,True,0.2706395983695984,0.0,10,146;619;1348;1151;140;302;591;757;937;1005,0.2706395984;0.2706395984;0.2706395984;0.2577306628;0.0161469039;0.0161469039;0.0161469039;0.0161469039;0.0161469039;0.0161469039
2691,0.03,4,8,59,1374,0.10543184727430344,1.4717904329299927,21.962501525878906,0.04553215578198433,True,1486,0.5,0.038046013563871384,0.4619539864361286,0.0,16,True,0.2657161355018616,0.0,10,146;619;1348;1151;140;302;591;757;937;1005,0.2657161355;0.2657161355;0.2657161355;0.2502888143;0.0149160577;0.0149160577;0.0149160577;0.0149160577;0.0149160577;0.0149160577
2691,0.1,4,8,59,1374,0.10543184727430344,1.4717904329299927,21.962501525878906,0.04553215578198433,True,1416,0.5,0.11899001896381378,0.3810099810361862,0.0,16,True,0.24821601808071136,0.0,10,146;619;1348;1151;140;302;591;757;937;1005,0.2482160181;0.2482160181;0.2482160181;0.2151155323;0.0105410386;0.0105410386;0.0105410386;0.0105410386;0.0105410386;0.0105410386
2691,0.3,4,8,59,1374,0.10543184727430344,1.4717904329299927,21.962501525878906,0.04553215578198433,True,1609,0.5,0.2964375615119934,0.2035624384880066,7.450580596923828e-09,4,False,0.19820614159107208,0.0,4,146;619;1348;1151,0.1982061416;0.1982061416;0.1982061416;0.1068332940
2685,0.001,12,36,131,1302,0.1282934844493866,2.8742685317993164,18.103219985961914,0.055238790810108185,True,622,0.5000000596046448,0.13525256514549255,0.3647474944591522,9.413098744914805e-09,79,True,0.3496737480163574,0.0,10,140;915;1290;1313;131;1328;1249;1066;299;310,0.3496737480;0.2100458443;0.1365031898;0.1365031898;0.1132477224;0.0610081628;0.0470320880;0.0444911681;0.0250066016;0.0250066016
2685,0.003,12,36,131,1302,0.1282934844493866,2.8742685317993164,18.103219985961914,0.055238790810108185,True,617,0.5000000596046448,0.13902026414871216,0.3609797954559326,9.71353131262731e-09,79,True,0.3492627739906311,0.0,10,140;915;1290;1313;131;1328;1249;1066;299;310,0.3492627740;0.2092061043;0.1358198822;0.1358198822;0.1125072911;0.0604318008;0.0460672714;0.0443727039;0.0249232501;0.0249232501
2685,0.01,12,36,131,1302,0.1282934844493866,2.8742685317993164,18.103219985961914,0.055238790810108185,True,494,0.5000000596046448,0.15194083750247955,0.3480592221021652,9.352795871109265e-09,78,True,0.3478875160217285,0.0,10,140;915;1290;1313;131;1328;1066;1249;299;310,0.3478875160;0.2061451524;0.1334494948;0.1334494948;0.1099536344;0.0584426522;0.0438354164;0.0423222333;0.0246309545;0.0246309545
2685,0.03,12,36,131,1302,0.1282934844493866,2.8742685317993164,18.103219985961914,0.055238790810108185,True,423,0.5000000596046448,0.18675705790519714,0.31324300169944763,7.693986781021067e-09,45,True,0.34139224886894226,0.0,10,140;915;1290;1313;131;1328;1066;1249;299;310,0.3413922489;0.1965761930;0.1267321557;0.1267321557;0.1028163657;0.0492940322;0.0413807780;0.0321886465;0.0238272883;0.0238272883
2685,0.1,12,36,131,1302,0.1282934844493866,2.8742685317993164,18.103219985961914,0.055238790810108185,True,558,0.5000000596046448,0.2896726727485657,0.2103273868560791,8.33000246558413e-09,38,True,0.30594971776008606,0.0,10,140;915;1290;1313;131;299;310;378;673;731,0.3059497178;0.1491541266;0.1043799818;0.1043799818;0.0733176023;0.0216018222;0.0216018222;0.0216018222;0.0216018222;0.0216018222
2685,0.3,12,36,131,1302,0.1282934844493866,2.8742685317993164,18.103219985961914,0.055238790810108185,True,1030,0.5000000596046448,0.45941728353500366,0.04058277606964111,9.125060707049215e-09,21,True,0.13480520248413086,0.0,10,140;1290;1313;507;299;310;378;673;731;740,0.1348052025;0.0320507139;0.0320507139;0.0273503028;0.0125322454;0.0125322454;0.0125322454;0.0125322454;0.0125322454;0.0125322454
